timesteps,episode_reward
7,7.0
13,6.0
19,6.0
22,3.0
30,8.0
41,11.0
53,12.0
58,5.0
69,11.0
76,7.0
83,7.0
90,7.0
100,10.0
105,5.0
116,11.0
121,5.0
125,4.0
140,15.0
149,9.0
153,4.0
157,4.0
168,11.0
176,8.0
184,8.0
205,21.0
216,11.0
228,12.0
238,10.0
244,6.0
253,9.0
265,12.0
271,6.0
277,6.0
295,18.0
300,5.0
305,5.0
315,10.0
324,9.0
343,19.0
347,4.0
352,5.0
359,7.0
371,12.0
382,11.0
393,11.0
400,7.0
414,14.0
423,9.0
432,9.0
437,5.0
442,5.0
449,7.0
456,7.0
461,5.0
466,5.0
472,6.0
482,10.0
487,5.0
493,6.0
502,9.0
514,12.0
519,5.0
528,9.0
533,5.0
559,26.0
573,14.0
585,12.0
593,8.0
599,6.0
608,9.0
624,16.0
628,4.0
632,4.0
644,12.0
652,8.0
659,7.0
677,18.0
688,11.0
695,7.0
717,22.0
731,14.0
738,7.0
751,13.0
756,5.0
763,7.0
779,16.0
797,18.0
802,5.0
809,7.0
817,8.0
828,11.0
843,15.0
854,11.0
859,5.0
865,6.0
870,5.0
876,6.0
883,7.0
890,7.0
898,8.0
908,10.0
911,3.0
922,11.0
927,5.0
930,3.0
935,5.0
939,4.0
959,20.0
963,4.0
972,9.0
979,7.0
993,14.0
998,5.0
1013,15.0
1017,4.0
1021,4.0
1027,6.0
1035,8.0
1048,13.0
1071,23.0
1078,7.0
1085,7.0
1094,9.0
1115,21.0
1128,13.0
1134,6.0
1140,6.0
1145,5.0
1155,10.0
1159,4.0
1167,8.0
1179,12.0
1185,6.0
1196,11.0
1208,12.0
1217,9.0
1225,8.0
1237,12.0
1242,5.0
1248,6.0
1256,8.0
1262,6.0
1272,10.0
1279,7.0
1287,8.0
1296,9.0
1303,7.0
1327,24.0
1334,7.0
1344,10.0
1352,8.0
1357,5.0
1366,9.0
1373,7.0
1379,6.0
1386,7.0
1393,7.0
1408,15.0
1417,9.0
1438,21.0
1454,16.0
1470,16.0
1479,9.0
1486,7.0
1506,20.0
1513,7.0
1520,7.0
1524,4.0
1530,6.0
1538,8.0
1546,8.0
1557,11.0
1572,15.0
1581,9.0
1589,8.0
1597,8.0
1614,17.0
1618,4.0
1625,7.0
1634,9.0
1650,16.0
1657,7.0
1668,11.0
1673,5.0
1681,8.0
1705,24.0
1712,7.0
1719,7.0
1733,14.0
1742,9.0
1749,7.0
1760,11.0
1766,6.0
1774,8.0
1794,20.0
1802,8.0
1807,5.0
1818,11.0
1829,11.0
1833,4.0
1839,6.0
1847,8.0
1854,7.0
1862,8.0
1874,12.0
1881,7.0
1884,3.0
1903,19.0
1910,7.0
1917,7.0
1934,17.0
1940,6.0
1952,12.0
1958,6.0
1973,15.0
1982,9.0
1997,15.0
2009,12.0
2017,8.0
2029,12.0
2038,9.0
2050,12.0
2083,33.0
2095,12.0
2103,8.0
2133,30.0
2138,5.0
2149,11.0
2157,8.0
2162,5.0
2181,19.0
2188,7.0
2198,10.0
2206,8.0
2212,6.0
2220,8.0
2228,8.0
2236,8.0
2255,19.0
2275,20.0
2286,11.0
2293,7.0
2297,4.0
2305,8.0
2311,6.0
2323,12.0
2332,9.0
2343,11.0
2354,11.0
2361,7.0
2366,5.0
2387,21.0
2401,14.0
2429,28.0
2452,23.0
2463,11.0
2470,7.0
2484,14.0
2495,11.0
2501,6.0
2522,21.0
2532,10.0
2542,10.0
2570,28.0
2579,9.0
2594,15.0
2602,8.0
2613,11.0
2632,19.0
2646,14.0
2658,12.0
2666,8.0
2682,16.0
2691,9.0
2699,8.0
2712,13.0
2719,7.0
2745,26.0
2756,11.0
2770,14.0
2782,12.0
2795,13.0
2804,9.0
2827,23.0
2838,11.0
2847,9.0
2871,24.0
2877,6.0
2899,22.0
2907,8.0
2916,9.0
2923,7.0
2929,6.0
2943,14.0
2954,11.0
2973,19.0
2979,6.0
2986,7.0
3003,17.0
3010,7.0
3015,5.0
3037,22.0
3056,19.0
3065,9.0
3083,18.0
3092,9.0
3100,8.0
3116,16.0
3123,7.0
3129,6.0
3147,18.0
3156,9.0
3161,5.0
3167,6.0
3194,27.0
3198,4.0
3244,46.0
3252,8.0
3280,28.0
3289,9.0
3306,17.0
3314,8.0
3337,23.0
3344,7.0
3372,28.0
3378,6.0
3384,6.0
3412,28.0
3437,25.0
3475,38.0
3490,15.0
3533,43.0
3546,13.0
3567,21.0
3571,4.0
3594,23.0
3606,12.0
3627,21.0
3635,8.0
3654,19.0
3669,15.0
3697,28.0
3705,8.0
3730,25.0
3744,14.0
3759,15.0
3766,7.0
3779,13.0
3803,24.0
3811,8.0
3824,13.0
3860,36.0
3871,11.0
3884,13.0
3899,15.0
3928,29.0
3938,10.0
3948,10.0
3956,8.0
3967,11.0
3982,15.0
3995,13.0
4027,32.0
4038,11.0
4046,8.0
4063,17.0
4069,6.0
4104,35.0
4151,47.0
4166,15.0
4174,8.0
4196,22.0
4220,24.0
4228,8.0
4241,13.0
4253,12.0
4259,6.0
4282,23.0
4293,11.0
4367,74.0
4419,52.0
4429,10.0
4436,7.0
4452,16.0
4464,12.0
4470,6.0
4474,4.0
4491,17.0
4547,56.0
4598,51.0
4636,38.0
4642,6.0
4676,34.0
4710,34.0
4763,53.0
4770,7.0
4795,25.0
4814,19.0
4828,14.0
4845,17.0
4918,73.0
4940,22.0
4950,10.0
4962,12.0
4981,19.0
5023,42.0
5080,57.0
5100,20.0
5127,27.0
5160,33.0
5171,11.0
5205,34.0
5238,33.0
5258,20.0
5352,94.0
5409,57.0
5440,31.0
5475,35.0
5500,25.0
5513,13.0
5527,14.0
5539,12.0
5553,14.0
5567,14.0
5587,20.0
5679,92.0
5724,45.0
5742,18.0
5784,42.0
5863,79.0
5872,9.0
5919,47.0
5973,54.0
5989,16.0
6004,15.0
6013,9.0
6059,46.0
6101,42.0
6130,29.0
6151,21.0
6219,68.0
6272,53.0
6290,18.0
6365,75.0
6413,48.0
6447,34.0
6500,53.0
6535,35.0
6559,24.0
6604,45.0
6681,77.0
6689,8.0
6751,62.0
6807,56.0
6844,37.0
6884,40.0
6983,99.0
7038,55.0
7078,40.0
7115,37.0
7202,87.0
7274,72.0
7300,26.0
7393,93.0
7419,26.0
7497,78.0
7582,85.0
7646,64.0
7709,63.0
7734,25.0
7825,91.0
7866,41.0
7940,74.0
8011,71.0
8038,27.0
8075,37.0
8160,85.0
8167,7.0
8209,42.0
8297,88.0
8347,50.0
8377,30.0
8421,44.0
8503,82.0
8528,25.0
8561,33.0
8648,87.0
8713,65.0
8807,94.0
8865,58.0
8991,126.0
9057,66.0
9151,94.0
9243,92.0
9317,74.0
9436,119.0
9568,132.0
9733,165.0
9776,43.0
9853,77.0
9931,78.0
9993,62.0
10054,61.0
10169,115.0
10235,66.0
10358,123.0
10459,101.0
10537,78.0
10655,118.0
10763,108.0
10836,73.0
10976,140.0
11034,58.0
11105,71.0
11169,64.0
11307,138.0
11457,150.0
11578,121.0
11667,89.0
11810,143.0
11962,152.0
12059,97.0
12153,94.0
12246,93.0
12398,152.0
12621,223.0
12802,181.0
12989,187.0
13124,135.0
13185,61.0
13238,53.0
13347,109.0
13459,112.0
13566,107.0
13737,171.0
13832,95.0
14083,251.0
14273,190.0
14557,284.0
14845,288.0
14928,83.0
15114,186.0
15239,125.0
15725,486.0
15927,202.0
16094,167.0
17094,1000.0
17235,141.0
17955,720.0
18152,197.0
18399,247.0
18722,323.0
19158,436.0
20158,1000.0
20872,714.0
21872,1000.0
22872,1000.0
23872,1000.0
24227,355.0
25227,1000.0
26227,1000.0
27227,1000.0
28227,1000.0
29227,1000.0
30173,946.0
31173,1000.0
32173,1000.0
33173,1000.0
34137,964.0
35137,1000.0
36137,1000.0
37137,1000.0
38137,1000.0
39137,1000.0
40137,1000.0
41137,1000.0
42137,1000.0
43137,1000.0
44137,1000.0
45137,1000.0
46137,1000.0
47137,1000.0
48137,1000.0
49137,1000.0
50137,1000.0
